Lp.,Nazwa własna,Telefon,Email,Charakter usług,Kategoria obiektu,Rodzaj obiektu,Adres
470,NEO,32 384-00-25,recepcja@hotelneo.pl,stały,***,hotel,"42-600 Tarnowskie Góry, Obwodnica 6"
471,HOTEL DWOREK WAPIONKA,564988233,dworekwapionka@baxpol.pl,stały,***,hotel,"87-320 Górzno, Wczasowa 1"
472,ASTORIA,(12) 432-50-10,biuro@astoriahotel.pl,stały,***,hotel,"31-056 Kraków, ul. Józefa 24"
473,DAL,413361000,recepcja.kielce@hoteldal.pl,stały,***,hotel,"25-510 Kielce, Piotrkowska 12"
474,MIKOŁAJ,12 429-58-08,marketing@mikolaj-aparthotel.pl,stały,***,hotel,"31-027 Kraków, ul. Mikołajska 30"
475,MAGNAT,178517854,hotel@hotelmagnat.pl,stały,***,hotel,"36-060 Głogów Małopolski, Długa 21"
476,POD DĘBAMI,(083) 375 16 32,rezerwacje@hotelpoddebami.pl,stały,***,hotel,"21-540 Kobylany, Warszawska 1"
477,ZAJAZD WINCENTÓW,534800101,jkosacki@poczta.onet.pl,stały,***,hotel,"21-100 Lubartów, Wincentów 28A"
478,PATRIA,(18) 200-04-15,recepcja@hotelpatria.pl,stały,***,hotel,"34-500 Zakopane, ul. Żeromskiego 12"
479,ZAJAZD MARTA,"(81) 821 17 44,",info@zajazd-marta.pl,stały,***,hotel,"23-212 Pułankowice, Pułankowice 5A"
480,PERŁA POŁUDNIA,(0 18) 446-90-3,hotel@perla-poludnia.pl,stały,***,hotel,"33-343 Rytro, Rytro 380"
481,PLATAN,( 32) 440-44-00,recepcja@hotelplatan.pl,stały,***,hotel,"32-500 Chrzanów, Rynek 6"
482,DWÓR CHOINY,817515553,info@dworchoiny.pl,stały,***,hotel,"21-040 Świdnik, Kazimierzówka 11A"
483,NA SKARPIE,884363875,,stały,***,hotel,"58-580 Szklarska Poręba, OKRZEI 1B"
484,EUROPA,(075) 76-47-231,europa@ptkarkonosze.pl,stały,***,hotel,"58-500 Jelenia Góra, 1 Maja 16/18"
485,MONTIS HOTEL&SPA,818205526,info@hotelmontis.pl,stały,***,hotel,"24-320 Poniatowa, Nałęczowska 1"
486,MARK 1,(14) 663-59-00,recepcja@mark1.pl,stały,***,hotel,"32-800 Brzesko, ul. Mickiewicza 29"
487,BAŻANTOWO,+48 32 722 40 4,sport@bazantowo.pl,stały,***,hotel,"40-750 Katowice, Pijarska 2"
488,OLD TIME,(0 12)423-47-90,reservation@oldtimehotel.pl,stały,***,hotel,"31-157 Kraków, ul. Szlak 33"
489,WOJTO,846167165,wojto@wojto.pl,stały,***,hotel,"22-400 Zamość, Wólka Panieńska 21d"
490,ORIENT PALACE,713335566,,stały,***,hotel,"55-040 Bielany Wrocławskie, Kłodzka 14"
491,KRESOWIAK,85 682-82-27,recepcja@kresowiaksiemiatycze.pl,stały,***,hotel,"17-300 Siemiatycze, Grodzieńska 7"
492,Hotel GROMADA,(+48-48) 330-85,,stały,***,hotel,"26-600 Radom, Bulwarowa 15"
493,PAŁAC RESTAURACJA SPIŻ,757610317,,stały,***,hotel,"58-535 Miłków, WIEJSKA 218"
494,HOTEL&BROWAR SŁOCIAK,775430965,hotel@slociak.pl,stały,***,hotel,"49-120 Sławice, Ceglana 2a"
495,OSTRAWA,+48 32 455 28 7,biuro@ostrawa.pl,stały,***,hotel,"44-300 Wodzisław Śląski, Płk. ks. Kubsza 28"
496,POD KASZTANAMI,817500390,info@zajazd.lublin.pl,stały,***,hotel,"20-518 Lublin, Krężnicka 96A"
497,HOTEL EUROPA,55-237-50-50,hotel@europahotel.pl,stały,***,hotel,"82-300 Elbląg, Królewiecka 219"
498,HOTEL KLONDAIK CORNER,486670094,hotel.klondaikcorner@onet.eu,stały,***,hotel,"05-660 Warka, Armii Krajowej 8/2"
499,MAJESTIC,756161717,,stały,***,hotel,"58-540 Karpacz, KARKONOSKA 3"
500,MARINA HOTEL&RESORT,846312718,marketing@marinanielisz.pl,stały,***,hotel,"22-413 Nielisz,"
501,REZYDENT,(12) 429-54-10,rezydent@rezydent.krakow.pl,stały,***,hotel,"31-006 Kraków, ul. Grodzka 9"
502,HOTEL STAR-DADAJ,89-514-57-29,hotel@star-dadaj.pl,stały,***,hotel,"11-010 Barczewo, Dadaj"
503,ZAJAZD POCZTOWY,+48(68) 324-70-,zajazd@zajazdpocztowy.pl,stały,***,hotel,"65-018 Zielona Góra, Jedności 78"
504,QUBUS HOTEL,683293100,zielonagora@qubushotel.com,stały,***,hotel,"65-211 Zielona Góra, Ceglana 14 a"
505,DIAMENT,32 253-90-41,katowice@hoteldiament.pl,stały,***,hotel,"40-012 Katowice, Dworcowa 9"
506,HOTEL LEGNICKI,603068333,biuro@motel-legnicki.pl,stały,***,hotel,"59-220 Legnica, Nowodworska 24"
507,Gromada,,,stały,***,hotel,"60-161 Poznań, Babimojska 7"
508,"""SUKIENNICE""",0-52 39-63-900,rezerwacja@hotelsukiennice.pl,stały,***,hotel,"89-600 Chojnice, Sukienników 14"
509,BASTION,095 752-59-70,biuro@hotel-bastion.pl,stały,***,hotel,"66-470 Kostrzyn nad Odrą, Graniczna 1"
510,OGONOWSKI,632445245,konin@kresowianka.pl,stały,***,hotel,"62-500 Konin, kolska 55a"
511,FORREST,683275309,,stały,***,hotel,"66-004 Racula, Głogowska 4a"
512,HOTEL ANEK,89-742-71-20,rezerwacja@hotelanek.pl,stały,***,hotel,"11-700 Mrągowo, Roosevelta 25A"
513,CARMEN,757619256,recepcja@carmen.karpacz.pl,stały,***,hotel,"58-540 Karpacz, ARMII KRAJOWEJ 3"
514,WENEDA,077/4536513;456,biuro@hotel-weneda.opole.pl,stały,***,hotel,"45-355 Opole, 1 Maja 77"
515,LEOPOLIS,(12) 636-51-95,leopolis@leopolis.com.pl,stały,***,hotel,"30-133 Kraków, ul. J. Lea 253 A"
516,HOTEL STARZYŃSKI,243660200,,stały,***,hotel,"09-400 Płock, Piekarska 1"
517,"""KURACYJNY""",0-58 66 - 77,hotelkuracyjny@wp.pl,stały,***,hotel,"81-525 Gdynia, Al. Zwycięstwa 255"
518,ELBRUS,338261300,recepcja@hotel-elbrus.pl,stały,***,hotel,"43-370 Szczyrk, Słoneczna 8"
519,DĘBINA,33 86-14-888,recepcja@centrumdebina.pl,stały,***,hotel,"34-300 Żywiec, Kopernika 4"
520,"""BACHUS""",0-58 56 23 023,info@hotelbachus.pl,stały,***,hotel,"83-200 Starogard Gdański, Mickiewicza 21"
521,KAZIMIERZÓWKA,818041387,recepcja@kazimierzowka.pl,stały,***,hotel,"24-120 Kazimierz Dolny, góry 10"
522,HOTEL ADLER,774185026,recepcja@hoteladler.pl,stały,***,hotel,"46-220 Byczyna, Rynek 17"
523,POD CHEŁMEM,(18) 353-41-86,podchelmem@gmail.com,stały,***,hotel,"38-312 Ropa, ropa 1118"
524,AMBER,12 421-06-06,office@hotel-amber.pl,stały,***,hotel,"31-131 Kraków, ul. Garbarska 10"
525,BOŃCZA,091/469-35-04,office@hotel-boncza.szczecin.pl,stały,***,hotel,"70-820 Szczecin, A. Krzywoń 18"
526,NIEZŁY MŁYN,713127137,hotel@niezlymlyn.pl,stały,***,hotel,"55-106 Czeszów, ZAWOŃSKA 7"
527,ESPERANTO,746322300,hotel@hotel-esperanto.pl,stały,***,hotel,"58-100 Świdnica, STĘCZYŃSKIEGO 18"
528,DWOREK NAD ROZLEWISKIEM,(32) 307-01-93,biuro@dworeknadrozlewiskiem.pl,stały,***,hotel,"32-310 Klucze-Osada, Klucze - Osada 38 A"
529,CHAŃCZA,41 35-35-314,recepcja@hotelchancza.pl,stały,***,hotel,"26-035 Chańcza, Chańcza 64 A"
530,NEKLA,6143554016,,stały,***,hotel,"62-330 Nekla, poznańska 10"
531,PIANO,814583833,recepcja@piano.lublin.pl,stały,***,hotel,"20-535 Lublin, Jana Pawła II 19"
532,HOTEL PAŁAC LUCJA,7746660425,info.recepcja@palaclucja.pl,stały,***,hotel,"47-330 Zakrzów, Stawowa 9"
533,KALISKI,+48(95)758-37-3,,stały,***,hotel,"69-100 Słubice, Jedności Robotniczej 13"
534,PRZYSTAŃ NAD SOŁĄ,(0 33)848-64-60,hotel@hotelprzystan.pl,stały,***,hotel,"32-651 Nowa Wieś, Bielany, ul. Mostowa 17"
535,KORAL,(0 12)278-50-45,biuro@zajazd-koral.pl,stały,***,hotel,"32-020 Wieliczka, Przebieczany 432"
536,SUDETIA,757835126,recepcja@hotelsudetia.pl,stały,***,hotel,"59-850 Świeradów-Zdrój, Zielona 6"
537,EUROPEJSKI,(12) 423-25-10,he@he.pl,stały,***,hotel,"31-034 Kraków, ul.Lubicz 5"
538,KOREL,612228400,rezerwacja@koel.pl,stały,***,hotel,"61-485 Poznań, 28 czerwca 1956r 209"
539,PAŁAC PAWŁOWICE,343411466,info@palacpawlowice.pl,stały,***,hotel,"46-310 Pawłowice, Pawłowice 58"
540,JUNIOR,(12) 262-42-19,hotel@junior.krakow.pl,stały,***,hotel,"30-394 Kraków, ul. Skotnicka 272"
541,KAIPOL,12 307-06-76,hotel@kaipol.pl,stały,***,hotel,"30-147 Kraków, ul. Zarzecze 124 A"
542,ARTIS LOFT HOTEL,222569756,hotel@artis-loft.pl,stały,***,hotel,"96-325 Radziejowice-Parcel, Boczna 18"
543,Lazur,,,stały,***,hotel,"63-400 Nowe Skalmierzyce, Kaliska 42"
544,"""RIGGA""",0 -58 674 -,recepcja@rigga.com.pl,stały,***,hotel,"84-120 Władysławowo, Harcerska 7"
545,VILLA AROMAT,4139-41-350,hotel@villaaromat.pl,stały,***,hotel,"29-100 Włoszczowa, Jędrzejowska 81"
546,HOTEL OPOLE CENTRUM,775516150,hotel@bwopole.pl,stały,***,hotel,"45-701 Opole, Ludwika Waryńskiego 17"
547,DWOREK JOLANTA,833443681,jolanta.dawidziuk@wp.pl,stały,***,hotel,"21-500 Czosnówka, Bialska 66"
548,HOTEL WILANÓW WARSZAWA BY DE SILVA,22-550-62-9-80,wilanow@desilva.pl,stały,***,hotel,"02-954 Warszawa, Kubickiego 3, 21"
549,"""GROT""",0-55 646 - 96,info@grothotel.pl,stały,***,hotel,"82-200 Malbork, Kościuszki 22"
550,TANGO,(075) 76-76-304,hotel@hotel-fan.pl,stały,***,hotel,"58-500 Jelenia Góra, Sudecka 70"
551,BIAŁY DOM,+48 32 431 89 8,bialydom.hotelczerwionka@gmail.com,stały,***,hotel,"44-230 Czerwionka-Leszczyny, parkowa"
552,"HOTEL & RESTAURACJA ""U KOMTURA""",89-625-51-93,kontakt@ukomtura.pl,stały,***,hotel,"13-100 Nidzica, Zamkowa 2"
553,TRYBUNALSKI,0-44 647-87-12,hotel@trybunalskie.pl,stały,***,hotel,"97-300 Piotrków Trybunalski, Grota-Roweckiego 5"
554,HOTEL REYTAN,(+48-22) 646-31,,stały,***,hotel,"02-516 Warszawa, Rejtana 6"
555,Edison,,,stały,***,hotel,"62-081 Baranowo, Baranowo"
556,Behapowiec,,,stały,***,hotel,"62-065 Grodzisk Wielkopolski, Nowa 27"
557,BIAŁY DOM,+48 32 757 14 1,hotelbialydom@gmail.com,stały,***,hotel,"44-177 Paniówki, Darwina"
558,COTTONINA VILLA & MINERAL SPA RESORT,757845500,info@cottonina.pl,stały,***,hotel,"59-850 Świeradów-Zdrój, SANATORYJNA 7"
559,"""BEST WESTERN HOTEL BONUM""",58/304-78-10,office@hotelaureus.pl,stały,***,hotel,"80-839 Gdańsk, Sieroca 3"
560,HOTEL WARMIA II,55-243-93-53,recepcja@hotelwarmia.pl,stały,***,hotel,"14-500 Braniewo, Kościuszki 100"
561,Kasyno,,,stały,***,hotel,"63-200 Jarocin, Wojska Polskiego 42"
562,EVENT ZDRÓJ,757349000,INFO@EVENTZDROJ.PL,stały,***,hotel,"59-850 Świeradów-Zdrój, SANATORYJNA 8"
563,ALPEJSKI,756457800,hotel@alpejski.pl,stały,***,hotel,"58-540 Karpacz, OGRODNICZA 8"
564,SCHANEL RESIDENCE,178626471,info@schanelresidence.com,stały,***,hotel,"35-065 Rzeszów, przesmyk"
565,RESTAURACJA-HOTEL LEŚNY DWÓR,483836062,RECEPCJA@LESNYDWOR.EU,stały,***,hotel,"26-640 Skaryszew, UL.SŁOWACKIEGO 84"
566,VIA APPIA,22-720-96-45,,stały,***,hotel,"05-090 Sękocin Stary, Al. krakowska 116"
567,"""BROWAR KOŚCIERZYNA""",58/680-07-71,recepcja@starybrowarkoscierzyna.pl,stały,***,hotel,"83-400 Kościerzyna, Słodowa 3"
568,"""MORZE""",59/81-55-200,hotel51@wp.pl,stały,***,hotel,"76-270 Ustka, Marynarki Polskiej 22"
569,HOTEL OGNISTY PTAK,87-427-28-79,recepcja@ognistyptak.pl,stały,***,hotel,"11-600 Ogonki, Sztynorcka 6"
570,WOJCIECH,0-87- 644-72-37,,stały,***,hotel,"16-300 Augustów, Wojciech 15"
571,HOTEL FOLWARK,501937399,marketing@folwarkklepisko.pl,stały,***,hotel,"05-126 Nieporęt, Zegrzyńska 10 A"
572,HOTEL AJAX RESTAURACJA AJAX,502-37-93-09,recepcja@hotel-janki.pl,stały,***,hotel,"05-090 Janki, Al. Krakowska 63"
573,VIA APPIA,22-720-96-45,,stały,***,hotel,"05-090 Sękocin Stary, Al. krakowska 116"
574,GRAND FELIX,( 12)681-86-00,grandfelix@hotelgrandfelix.pl,stały,***,hotel,"31-827 Kraków, os. Złotej Jesieni 12"
575,KRUK,0-44 734-42-51,kruk@hotelkruk.com.pl,stały,***,hotel,"97-213 Swolszewice Małe, p-ta Smardzewice"
576,TRZY RÓŻE,814758505,info@trzyroze.pl,stały,***,hotel,"20-515 Zemborzyce Dolne, zemborzyce dolne 96a"
577,KAMIZA,+48-29 742-52-,kamiza@ort.pl,stały,***,hotel,"07-221 Brańszczyk, miejscowość Turzyn 192 A"
578,"""VICTORIA""",0 - 58 778 -,recepcja@hotelviktoria.pl,stały,***,hotel,"84-239 Bolszewo, Zamostna 1"
579,REZYDENCJA,(075) 76-180-20,,stały,***,hotel,"58-540 Karpacz, Parkowa 6"
580,"""BEST WESTERN PLUS BUSINESS FALTOM HOTEL""",58/77-655-00,recepcja@faltombusiness.pl,stały,***,hotel,"84-230 Rumia, Sobieskiego 125"
581,KONTRAST,(12) 262-30-51,rezerwacja@hotel-kontrast.pl,stały,***,hotel,"30-437 Kraków, ul. Forteczna 22"
582,QUBUS HOTEL ZŁOTORYJA,768783597,ZLOTORYJA@QUBUSHOTEL.COM,stały,***,hotel,"59-500 Złotoryja, PL.REYMONTA 7"
583,"""DOM KURACYJNY MESSA""",58/674-13-72,biuro@messawladyslawowo.pl,stały,***,hotel,"84-120 Władysławowo, Niepodległości 10"
584,TRZY KORONY,177411214,biuro@hotel-trzykorony.pl,stały,***,hotel,"36-060 Rudna Mała, Rudna Mała 2c"
585,HOTEL MYSTKOWO GRZYMKI CENTRUM KONFERENCYJNO-SZKOLENIOWE,795-577-738,recepcja@dwormystkowo.pl,stały,***,hotel,"09-130 Mystkowo, Mystkowo 22"
586,HOTEL SOKOŁOWSKA,22-350-74-87,recepcja@hotelsokolowska.pl,stały,***,hotel,"05-102 Nowy Dwór Mazowiecki, Generała Thommee 15"
587,hotel ALICJA,(+48 22) 754-34,alicj@ta.pl,stały,***,hotel,"05-520 Konstancin-Jeziorna, Pocztowa 15"
588,Hotel Akropol,566787846,,stały,***,hotel,"87-165 Cierpice, sosnowa 14"
589,KAMELEON,32 43-40-167,recepcja@hotelkameleon.com,stały,***,hotel,"44-240 Żory, Boryńska 7"
590,NEVADA,683411223,recepcja@hotelnevada.pl,stały,***,hotel,"66-220 Poźrzadło, Poźrzadło 5a/c"
591,HOTEL STYLOWA,774103481,,stały,***,hotel,"46-100 Namysłów, Braterska 3a"
592,PAŁAC BORYNIA,+48 32 471 94 74,hotel@palacborynia.pl,stały,***,hotel,"44-268 Jastrzębie-Zdrój, Zamkowa 5"
593,Zaodrze,077/4515218,,stały,***,hotel,"45-716 Opole, Spychalskiego 25"
594,"""ŁEBA""",0 - 59 866 -,office@hotelleba.pl,stały,***,hotel,"84-360 Łeba, Nadmorska 9B"
595,QUBUS HOTEL ZŁOTORYJA,768783597,zlotoryja@qubushotel.com,stały,***,hotel,"59-500 Złotoryja, Pl. Reymonta 7"
596,HOTEL MELA VERDE,22 379-00-03,max@hotelmelaverde.pl,stały,***,hotel,"05-077 Zakręt, Cisowa 1"
597,POD RÓŻAMI,(075) 755-14-53,biuro@podrozami.pl,stały,***,hotel,"58-560 Jelenia Góra, Pl. Piastowski 26"
598,MILLENIUM,728905612,poczta@hotelmillenium.eu,stały,***,hotel,"39-204 Żyraków, żyraków 169d"
599,DIANA,+48-22- 768-01-,marinadiana@xl.wp.pl,stały,***,hotel,"05-127 Białobrzegi, Wczasowa 24"
600,"""CENTRUM MALBORK""",58/273 22 33,rezerwacja@hotelmalbork.pl,stały,***,hotel,"82-200 Malbork, Al. Rodła 7"
601,BUKOWY DWOREK,+48 68 3412088,bukowy.administracja@geovita.pl,stały,***,hotel,"66-220 Gronów, Gronów 23"
602,UROCZYSKO,"41 302 21 21, 3",uroczysko@business.kielce.pl,stały,***,hotel,"25-900 Cedzyna, Cedzyna 44 D"
603,CAMPANILE WROCŁAW CENTRUM,717830300,wroclaw.centrum@campanile.com,stały,***,hotel,"53-302 Wrocław, ŚLĘŻNA 26"
604,Hotel Calisia,627979100,rezerwacja@hotel-calisia,stały,***,hotel,"62-800 Kalisz, Nowy Świat 1-3"
605,"""OLIWSKI""",0 - 58 761 - 66,hotel@hotel-oliwski.pl,stały,***,hotel,"80-332 Gdańsk, Piastowska 1"
606,ADAM & SPA,748664246,recepcja@adamspa.pl,stały,***,hotel,"57-350 Kudowa-Zdrój, LUBELSKA 1A"
607,PAŁAC RACOT,655117958,recepcja@racot.pl,stały,***,hotel,"64-000 Racot, dworcowa 5"
608,AUSTERIA NIEMCZAŃSKA,746322411,,stały,***,hotel,"58-230 Niemcza, OSIEDLE PODMIEJSKIE 1B"
609,GÓRNIK,94- 35 26 005,gornik@nat.pl,stały,***,hotel,"78-100 Kołobrzeg, Kościuszki 3"
610,ROYAL,(12) 421-35-00,royal@hotelewam.pl,stały,***,hotel,"31-048 Kraków, ul. Św. Gertrudy 26-29"
611,KARDAMON,604115137,biuro@hotel-kardamon.pl,stały,***,hotel,"33-113 Zbylitowska Góra, ul. Zbylitowskich 157"
612,Hotel Dworek,627309550,dworek@ecentrum.pl,stały,***,hotel,"62-500 Ostrzeszów, Kaliska 7/ 9"
613,HALNY,33 852-04-51,halny@ orbis.pl,stały,***,hotel,"43-400 Cieszyn, Motelowa 21"
614,POLLERA,(0 12) 422-10-4,rezerwacja@pollera.com.pl,stały,***,hotel,"31-024 Kraków, ul. Szpitalna 30"
615,STYL 70,032-449-30-02,recepcja@hotelstyl70.pl,stały,***,hotel,"43-211 Piasek, Studzienicka 58"
616,RYCERSKI,(91)814 66 01,rycerski@hotelewam.pl,stały,***,hotel,"70-230 Szczecin, Potulicka 1A"
617,REYMONT,0-42 633-80-23,reymont@hotelewam.pl,stały,***,hotel,"91-072 Łódź, Legionów 81"
618,ZIELONY GOŚCINIEC,"044 619-20-62,",biuro@zielony-gosciniec.pl,stały,***,hotel,"97-330 Włodzimierzów, Zdrowie 43, p-ta Sulejów"
619,MŁYN KLEKOTKI,55-249-00-00,recepcja@hotelmlynklekotki.pl,stały,***,hotel,"14-407 Klekotki, 1"
620,PODJADEK,627348717,podjadek@podjadek.com.pl,stały,***,hotel,"63-410 Górzno, górzno 20"
621,AMBASADOR,"0-42 646-49-04,",recepcja@hotelambasador.pl,stały,***,hotel,"93-320 Łódź, Kosynierów Gdyńskich 8"
622,ORLIK,(18)533-03-75,orlik@krynica.pl,stały,***,hotel,"33-380 Krynica-Zdrój, ul. Kościuszki 7"
623,Hotel Dorrian,618674522,"biuro@dorrian.pl , rezerwacja@dorrian.pl",stały,***,hotel,"60-751 Poznań, Wyspiańskiego 29"
624,QUALITY HOTEL SYSTEM WROCŁAW NEAST,713649700,premium.wro@hotelsystem.pl,stały,***,hotel,"51-163 Wrocław, AL.KROMERA 16"
625,"""AMBER""",0-58 718-71-87,amberhotel@wp.pl,stały,***,hotel,"80-165 Gdańsk, Powstańców Warszawskich 45"
626,VESTINA WELLNESS & SPA,(91) 328-11-21,,stały,***,hotel,"72-500 Międzyzdroje, Promenada Gwiazd 36"
627,IBIS STYLES WAŁBRZYCH,746655444,,stały,***,hotel,"58-300 Wałbrzych, 1 MAJA 70"
628,MERCURE ZAKOPANE KASPROWY,18 202-40-03,h3399-AM@accor.com,stały,***,hotel,"34-500 Zakopane, ul. Szymaszkowa"
629,Olympic Hotel,672545500,hotel@wronki-olympic.pl,stały,***,hotel,"61-540 , Leśna 15 a"
630,"""Petite Fleur""",056-6634400 66,: hotel@petitefleur.pl,stały,***,hotel,"87-100 Toruń, Piekary 25"
631,CENTRUM DIKUL,717967766,recepcja@dikul.pl,stały,***,hotel,"50-136 Wrocław, CIESZYŃSKIEGO 17-19"
632,POLICE,519349001,hotel@mop-police.lotospaliwa.pl,stały,***,hotel,"62-604 Kościelec, police 19"
633,ATRIUM,(12) 430-02-03,hotelatrium@hotelatrium.pl,stały,***,hotel,"31-149 Kraków, ul. Krzywa 7"
634,"""IBIS STYLES GDYNIA REDA""",587364800,hotel@hotelwasko.pl,stały,***,hotel,"84-240 Reda, Pucka 10B"
635,SKALNY,(18) 201-91-00,skalny@skalny.com.pl,stały,***,hotel,"34-500 Zakopane, ul. Pardałówka 3 b"
636,AQUA-ZDRÓJ,746609300,,stały,***,hotel,"58-304 Wałbrzych, RATUSZOWA 6"
637,POD DĘBAMI,"0-42 227-13-09,",hotel@deby.pl,stały,***,hotel,"95-081 Pawłówek, p-ta Dłutów"
638,DOMINO,77/ 4608305,recepcja@hoteldomino.eu,stały,***,hotel,"49-100 Niemodlin, Opolska 54"
639,Hotel HenLex,618798771,henlex@hotel-henlex.com.pl,stały,***,hotel,"61-312 Poznań, Spławie 43"
640,DELTA,(0 12)633-21-11,recepcja@deltahotel.pl,stały,***,hotel,"30-036 Kraków, ul. Mazowiecka 6"
641,HOTEL I GOSPODA TADEUSZ,(14) 685-88-45,biuro@hotel-tadeusz.pl,stały,***,hotel,"32-864 Gnojnik, Uszew 502"
642,"""IMPRESJA""",0-58 343-87-0,info@hotelimpresja.pl,stały,***,hotel,"80-210 Gdańsk, Tuwima 12"
643,DWÓR LWOWSKI,815018251,dwor@dworlwowski.pl,stały,***,hotel,"21-080 Garbów, Bogucin 108 A"
644,POLONIA,627351437,,stały,***,hotel,"63-400 Ostrów Wielkopolski, rynek 34"
645,A`PROPOS,748404049,info@aproposclub.com,stały,***,hotel,"58-309 Wałbrzych, WIENIAWSKIEGO 82"
646,JAGA,(14) 684-94-02,info@hoteljaga.pl,stały,***,hotel,"32-800 Brzesko, ul. Kościuszki"
647,SEVILLA,0-46 814-60-57,recepcja@hotel-sevilla.pl,stały,***,hotel,"96-200 Niwna, p-ta Rawa Mazowiecka"
648,BLACK & WHITE,12 272-00-81,recepcja@blackandwhitehotel.pl,stały,***,hotel,"32-400 Myślenice, ul. Leśna 1"
649,NOWY DWÓR,178560990,biuro@hotelnowydwor.pl,stały,***,hotel,"36-072 Świlcza, 146 E"
650,MARINA,091/328-04-49,marinahotel@az.pl,stały,***,hotel,"72-500 Międzyzdroje, Gryfa Pomorskiego 1"
651,Hotel Basztowy,523020006,recepcja@hotel-basztowy.com.pl,stały,***,hotel,"88-400 Żnin, 700-lecia 1"
652,CHABROWY DWOREK,468615474,,stały,***,hotel,"96-515 Teresin, Seroki Wieś 138 A"
653,PIAST,774549710,office@hotel-piast.opole.pl,stały,***,hotel,"45-081 Opole, Piastowska 1"
654,KINGA,32 209-96-69,,stały,***,hotel,"40-318 Katowice, Zimowa 36"
655,ALLEGRI,32-263-28-72,hotel@allegri.com.pl,stały,***,hotel,"42-500 Będzin, Żeromskiego 11"
656,ARTUS,757616346,recepcja@hotelartus.pl,stały,***,hotel,"58-540 Karpacz, WILCZA 9"
657,POSNANIA,612951488,recepcjA@LEZECZKI.PL,stały,***,hotel,"64-412 Łężeczki, ŁĘZECZKI1"
658,BELWEDERSKI,22 840-40-11,belwederski@hotelewam.pl,stały,***,hotel,"00-758 Warszawa, Sulkiewicza 11"
659,GREEN HOTEL,(12) 389-09-00,hotel@greenhotel.pl,stały,***,hotel,"32-048 Jerzmanowice, Sąspów 122"
660,WILLA ZBYSZJKO,(91) 39 20 300,biuro@willa-zbyszko.pl,stały,***,hotel,"72-400 Nowogard, tADEUSZA kOŚCIUSZKI 16k"
661,DWOREK EMILII,12 250-79-09,emila@autograf.pl,stały,***,hotel,"32-020 Wieliczka, Tomaszkowice 440"
662,MAKSYMILIAN,12 341-44-93,biuro@hotelmaksymilian.pl,stały,***,hotel,"31-128 Kraków, ul. Karmelicka 36"
663,Piast,077/4334084,hotelpiastnysa@poczta.onet.pl,stały,***,hotel,"48-300 Nysa, Krzywoustego 14"
664,KMICIC,34 327-80-64,biuro@ hotel-kmicic.pl,stały,***,hotel,"42-253 Złoty Potok, Majora Wrzoska 35"
665,HYATT Regency Warsaw Hotel,(+48-22) 558-12,info@hyattwarsaw.pl,stały,***,hotel,"00-761 Warszawa, Belwederska 23"
666,SKALA,833447676,hotel@skalabp.pl,stały,***,hotel,"21-500 Biała Podlaska, Artyleryjska 1"
667,GOLD,146814244,recepcja@hotel-gold.eu,stały,***,hotel,"39-200 Dębica, Łukasiewicza 29 a"
668,"""BLICK""",58 78-30-300,hotel@hotelblick.pl,stały,***,hotel,"81-351 Gdynia, Jana z Kolna 6"
669,MAZOWIECKI,"0-44 724-64-01,",hotel@tompol.com.pl,stały,***,hotel,"97-200 Tomaszów Mazowiecki, Św. Antoniego 19"
670,CLASIC,12 291-43-40,clasictour@op.pl,stały,***,hotel,"32-020 Wieliczka, ul. Dembowskiego 60"
671,PARTNER,(+48-22) 814-23,recepcja@partnerhotel.pl,stały,***,hotel,"03-228 Warszawa, Marywilska 16"
672,RELAX,612951488,RELAX@HOT.PL,stały,***,hotel,"62-095 Murowana Goślina, POZNAŃSKA 47"
673,HOTEL AQUARIUS,603795500,hotel@hotelaquarius.pl,stały,***,hotel,"87-700 Odolion, Szosa Ciechocińska 7"
674,HOTEL MŁYN,55-235-04-70,info@hotelmlyn.com.pl,stały,***,hotel,"82-300 Elbląg, Kościuszki 132"
675,HOTEL ZA PARKIEM,774195653,jakubus@jakubus.pl,stały,***,hotel,"46-113 Jakubowice, jakubowice 36"
676,"""U WITASZKA""",227850202,hotel@uwitaszka.pl,stały,***,hotel,"05-152 Czosnów, Wł. Lercha 5"
677,MILORD HOTEL-RESTAURACJA-SALA BANKIETOWA,236920605,biuro@milordhotel.pl,stały,***,hotel,"06-100 Kleszewo, kleszewo 43"
678,MIKULSKI,32 331-82-01,recepcja@ hotelmikulski.pl,stały,***,hotel,"44-100 Gliwice, Dąbrowskiego 24"
679,TRZY WYSPY,91-884-00-00,administracja@trzywyspy.pl,stały,***,hotel,"72-600 Świnoujście, Słowackiego 2a"
680,POLESKI,12 260-54-15,hotel@hotelpoleski.pl,stały,***,hotel,"30-301 Kraków, ul. Sandomierska 6"
681,VINCI,12 378-44-00,biuro@vincihotel.pl,stały,***,hotel,"32-085 Modlniczka, ul. Kasztanowa 25"
682,KATOWICE,+48 32 258 82 81,hotel@hotel-katowice.com.pl,stały,***,hotel,"40-951 Katowice, Al. Korfantego 9"
683,POD JEDLAMI,033-855-24-17,rezerwacja@podjedlami.pl,stały,***,hotel,"43-460 Wisła, Beskidzka 17"
684,PURO,717725100,wroclaw@purohotel.pl,stały,***,hotel,"50-072 Wrocław, WŁODKOWICA 6"
